CREDIT	INCOME
91529 	28608 
134000 	57120 
111098 	14280 
201963 	16449 
107213 	24174 
135182 	16320 
468900 	0 
147313 	45900 
130960 	15810 
70088 	13934 
122271 	30600 
99700 	0 
131852 	20298 
123176 	43483 
49875 	25493 
130250 	0 
66105 	0 
600000 	0 
157595 	0 
180708 	25500 
92000 	0 
36726 	0 
71376 	6630 
125701 	32065 
135182 	25500 
131176 	36720 
133800 	25500 
374972 	0 
240033 	0 
64047 	0 
97506 	0 
90407 	0 
50621 	0 
260000 	0 
111678 	0 
124736 	0 
161701 	0 
141375 	22440 
450400 	51000 
150471 	35700 
211962 	21420 
67812 	6324 
350000 	0 
181077 	16728 
117701 	43452 
118534 	35700 
123765 	0 
173600 	23008 
76632 	0 
166705 	15606 
207375 	0 
522250 	52376 
74361 	38760 
43395 	8058 
197529 	50664 
66647 	14790 
254529 	30600 
68059 	17340 
148900 	0 
62118 	45900 
121863 	35700 
242118 	51000 
360375 	61200 
24000 	0 
158900 	0 
564100 	0 
415070 	0 
134250 	0 
246200 	0 
100588 	0 
61042 	25500 
214000 	41683 
216646 	14280 
350000 	0 
190200 	0 
436000 	0 
169255 	15300 
416231 	0 
141013 	0 
42300 	0 
92800 	45900 
111098 	40800 
78941 	0 
195294 	0 
71165 	0 
530000 	0 
233100 	0 
82937 	0 
211855 	12750 
277800 	31620 
188382 	24684 
20189 	10200 
115537 	10710 
20785 	13260 
63373 	21420 
172693 	21420 
154353 	0 
80021 	14280 
65000 	40188 
37331 	7140 
395176 	102000 
126588 	17242 
50054 	11988 
43368 	0 
147625 	20400 
157876 	14076 
120135 	25500 
198000 	19696 
75584 	20400 
173900 	30600 
748400 	48537 
53153 	25500 
58842 	0 
68341 	0 
98279 	12362 
115946 	30600 
142973 	8069 
150887 	30600 
205765 	30600 
125193 	20400 
146709 	51000 
94339 	13260 
103412 	0 
82118 	15300 
600900 	204102 
143839 	8160 
136646 	25500 
104750 	40800 
338900 	35700 
140588 	33660 
590000 	81690 
78356 	19380 
40607 	0 
256588 	0 
26747 	8670 
131525 	19093 
240480 	27132 
129294 	18360 
60676 	34834 
182235 	27041 
350700 	30600 
173600 	0 
70990 	0 
155807 	23460 
110298 	17340 
215863 	59160 
254000 	0 
211519 	102000 
170000 	37740 
212500 	0 
88900 	15963 
111249 	0 
121863 	18401 
166705 	18775 
122235 	0 
384100 	29354 
290400 	27735 
189122 	61200 
145388 	35700 
